UID,CSQ,IMEI,CCID,VGSM,SLEEP CURRENT,CHARGING CURRENT,CHARGE STATUS,CHARGER,ACCELEROMETER ID,ACCELEROMETER TYPE,S/N,VCMU,INPUT CURRENT
36583, 31, 86486605433596, 8991450900625796307, 4.118 V, 45.41 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 0980, 3.25 V, 1.65 mA,
36582, 31, 86486605433753, 8991450900625796307, 4.157 V, 46.88 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 0979, 3.25 V, 1.76 mA,
36581, 31, 86486605434471, 8991450900625796307, 4.109 V, 42.48 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 0978, 3.25 V, 1.75 mA,
36580, 31, 86486605434304, 8991450900625796307, 4.083 V, 43.95 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 0977, 3.25 V, 1.73 mA,
36579, 31, 86486605434274, 8991450900625796307, 4.128 V, 46.88 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 0976, 3.25 V, 1.69 mA,
36578, 31, 86486605433032, 8991450900625796307, 4.140 V, 43.95 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 0975, 3.25 V, 0.04 mA,
36577, 31, 86486605434071, 8991450900625796307, 4.094 V, 43.95 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 0974, 3.25 V, 1.68 mA,
36576, 31, 86486605434306, 8991450900625796307, 4.107 V, 42.48 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 0973, 3.25 V, 1.71 mA,
36575, 27, 86486605434312, 8991450900625796307, 4.137 V, 45.41 uA, 512.695 mA,  CHARGING,  CONNECTED,51,ST, 0972, 3.25 V, 1.75 mA,
36574, 31, 86486605434321, 8991450900625796307, 4.116 V, 46.88 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 0971, 3.24 V, 1.70 mA,
36573, 31, 86486605434198, 8991450900625796307, 4.107 V, 48.34 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 0970, 3.24 V, 1.70 mA,
36572, 29, 86486605432697, 8991450900625796307, 4.126 V, 39.55 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 0969, 3.24 V, 1.71 mA,
36590, 31, 86486605722251, 8991450900625796307, 4.096 V, 45.41 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 0987, 3.24 V, 1.79 mA,
36595, 31, 86486605389203, 8991450900625796307, 4.135 V, 48.34 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 0992, 3.25 V, 1.62 mA,
36594, 31, 86486605389355, 8991450900625796307, 4.102 V, 43.95 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 0991, 3.24 V, 1.80 mA,
36593, 31, 86486605389681, 8991450900625796307, 4.093 V, 43.95 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 0990, 3.25 V, 1.68 mA,
36592, 31, 86486605389653, 8991450900625796307, 4.090 V, 38.09 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 0989, 3.24 V, 1.68 mA,
36591, 31, 86486605389683, 8991450900625796307, 4.118 V, 46.88 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 0988, 3.24 V, 1.78 mA,
36607, 31, 86486605389909, 8991450900625795645, 4.116 V, 46.88 uA, 263.672 mA,  CHARGING,  CONNECTED,51,ST, 1004, 3.25 V, 1.77 mA,
36606, 31, 86486605389510, 8991450900625795645, 4.125 V, 46.88 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1003, 3.25 V, 1.80 mA,
36605, 31, 86486605389314, 8991450900625795645, 4.119 V, 36.62 uA, 439.453 mA,  CHARGING,  CONNECTED,51,ST, 1002, 3.25 V, 1.62 mA,
36604, 29, 86486605389320, 8991450900625795645, 4.104 V, 43.95 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1001, 3.25 V, 1.86 mA,
36603, 31, 86486605432664, 8991450900625795645, 4.110 V, 43.95 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1000, 3.25 V, 1.69 mA,
36602, 31, 86486605432710, 8991450900625795645, 4.134 V, 45.41 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 0999, 3.25 V, 1.74 mA,
36601, 31, 86486605389584, 8991450900625795645, 4.134 V, 45.41 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 0998, 3.25 V, 1.68 mA,
36600, 31, 86486605389904, 8991450900625795645, 4.087 V, 51.27 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 0997, 3.25 V, 1.64 mA,
36599, 31, 86486605389442, 8991450900625795645, 4.113 V, 43.95 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 0996, 3.24 V, 1.65 mA,
36598, 27, 86486605389364, 8991450900625795645, 4.118 V, 43.95 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 0995, 3.25 V, 1.67 mA,
36597, 31, 86486605389307, 8991450900625795645, 4.109 V, 43.95 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 0994, 3.25 V, 1.75 mA,
36596, 31, 86486605389887, 8991450900625795645, 4.107 V, 41.02 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 0993, 3.25 V, 1.73 mA,
36621, 31, 86486605389349, 8991450900625795645, 4.119 V, 42.48 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1018, 3.24 V, 1.70 mA,
36620, 31, 86486605388977, 8991450900625795645, 4.128 V, 46.88 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1017, 3.24 V, 1.66 mA,
36619, 31, 86486605389894, 8991450900625795645, 4.119 V, 45.41 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST,, 3.24 V, 1.67 mA,
36618, 31, 86486605389300, 8991450900625795645, 4.121 V, 48.34 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1015, 3.24 V, 1.81 mA,
36617, 31, 86486605389354, 8991450900625795645, 4.093 V, 45.41 uA, 131.836 mA,  CHARGING,  CONNECTED,51,ST, 1014, 3.24 V, 1.81 mA,
36616, 31, 86486605434052, 8991450900625795645, 4.163 V, 45.41 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1013, 3.24 V, 1.63 mA,
36615, 31, 86486605433026, 8991450900625795645, 4.122 V, 42.48 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1012, 3.24 V, 1.81 mA,
36614, 31, 86486605433530, 8991450900625795645, 4.140 V, 43.95 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 1011, 3.24 V, 1.77 mA,
36613, 31, 86486605434172, 8991450900625795645, 4.138 V, 45.41 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1010, 3.24 V, 1.79 mA,
36612, 29, 86486605389092, 8991450900625795645, 4.107 V, 46.88 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1009, 3.24 V, 1.68 mA,
36611, 31, 86486605389323, 8991450900625795645, 4.140 V, 48.34 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 1008, 3.24 V, 1.65 mA,
36610, 31, 86486605389700, 8991450900625795645, 4.124 V, 45.41 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 1007, 3.25 V, 1.82 mA,
36609, 31, 86486605389345, 8991450900625795645, 4.163 V, 48.34 uA, 131.836 mA,  CHARGING,  CONNECTED,51,ST, 1006, 3.24 V, 1.69 mA,
36608, 31, 86486605389440, 8991450900625795645, 4.119 V, 38.09 uA, 102.539 mA,  CHARGING,  CONNECTED,51,ST, 1005, 3.24 V, 1.64 mA,
36629, 31, 86486605389458, 8991450900625795645, 4.119 V, 43.95 uA, 483.398 mA,  CHARGING,  CONNECTED,51,ST, 1026, 3.24 V, 1.48 mA,
36628, 31, 86486605433147, 8991450900625795645, 4.061 V, 45.41 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1025, 3.24 V, 1.46 mA,
36627, 31, 86486605434246, 8991450900625795645, 4.074 V, 55.66 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 1024, 3.24 V, 1.48 mA,
36626, 31, 86486605389361, 8991450900625795645, 4.084 V, 45.41 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1023, 3.24 V, 1.51 mA,
36625, 27, 86486605389881, 8991450900625795645, 4.103 V, 46.88 uA, 439.453 mA,  CHARGING,  CONNECTED,51,ST, 1022, 3.24 V, 1.49 mA,
36624, 31, 86486605389214, 8991450900625795645, 4.052 V, 45.41 uA, 454.102 mA,  CHARGING,  CONNECTED,51,ST, 1021, 3.24 V, 1.51 mA,
36623, 30, 86486605389344, 8991450900625795645, 4.075 V, 45.41 uA, 380.859 mA,  CHARGING,  CONNECTED,51,ST, 1020, 3.24 V, 1.39 mA,
36622, 31, 86486605389334, 8991450900625795645, 4.125 V, 46.88 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 1019, 3.24 V, 1.73 mA,
36642, 31, 86486605389866, 8991450900625795645, 4.113 V, 43.95 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1036, 3.27 V, 1.58 mA,
36641, 31, 86486605389907, 8991450900625795645, 4.075 V, 45.41 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1035, 3.24 V, 1.44 mA,
36640, 31, 86486605389368, 8991450900625795645, 4.110 V, 43.95 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 1034, 3.24 V, 1.43 mA,
36639, 31, 86486605389514, 8991450900625795645, 4.074 V, 41.02 uA, 87.891 mA,  CHARGING,  CONNECTED,51,ST, 1033, 3.24 V, 1.36 mA,
36146, 31, 86486605432830, 8991450900626326475, 4.115 V, 45.41 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 0527, 3.24 V, 1.52 mA,
36638, 31, 86486605389376, 8991450900625795645, 4.104 V, 43.95 uA, 424.805 mA,  CHARGING,  CONNECTED,51,ST, 1032, 3.24 V, 1.43 mA,
36637, 31, 86486605389269, 8991450900625795645, 4.112 V, 43.95 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1031, 3.24 V, 1.37 mA,
36636, 30, 86486605389480, 8991450900625795645, 4.087 V, 42.48 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1030, 3.24 V, 1.45 mA,
36635, 31, 86486605389650, 8991450900625795645, 4.124 V, 43.95 uA, 410.156 mA,  CHARGING,  CONNECTED,51,ST, 1029, 3.24 V, 1.42 mA,
36634, 31, 86486605389566, 8991450900625795645, 4.100 V, 45.41 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1054, 3.24 V, 1.51 mA,
36633, 31, 86486605434278, 8991450900625795645, 4.042 V, 43.95 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1040, 3.23 V, 1.48 mA,
36632, 31, 86486605389643, 8991450900625795645, 4.063 V, 45.41 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 1096, 3.24 V, 1.43 mA,
36631, 31, 86486605434176, 8991450900625795645, 4.096 V, 30.76 uA, 351.563 mA,  CHARGING,  CONNECTED,51,ST, 1028, 3.24 V, 1.45 mA,
36630, 31, 86486605434332, 8991450900625795645, 4.112 V, 43.95 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1027, 3.24 V, 1.39 mA,
36644, 31, 86486605389481, 8991450900625795645, 4.085 V, 46.88 uA, 410.156 mA,  CHARGING,  CONNECTED,51,ST, 1038, 3.24 V, 1.56 mA,
36643, 29, 86486605389861, 8991450900625795645, 4.072 V, 38.09 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1037, 3.24 V, 1.39 mA,
36658, 26, 86486605433345, 8991450900625795645, 4.109 V, 45.41 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1053, 3.24 V, 1.39 mA,
36657, 31, 86486605434090, 8991450900625795645, 4.059 V, 39.55 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1052, 3.24 V, 1.54 mA,
36656, 31, 86486605432499, 8991450900625795645, 4.107 V, 43.95 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1051, 3.24 V, 1.50 mA,
36655, 25, 86486605434303, 8991450900625795645, 4.119 V, 45.41 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1050, 3.24 V, 1.43 mA,
36654, 31, 86486605434146, 8991450900625795645, 4.134 V, 43.95 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1049, 3.24 V, 1.56 mA,
36653, 31, 86486605433993, 8991450900625795645, 4.112 V, 43.95 uA, 336.914 mA,  CHARGING,  CONNECTED,51,ST, 1048, 3.24 V, 1.44 mA,
36652, 30, 86486605434322, 8991450900625795645, 4.125 V, 43.95 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1047, 3.24 V, 1.50 mA,
36651, 23, 86486605433999, 8991450900625795645, 4.094 V, 43.95 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1046, 3.24 V, 1.51 mA,
36650, 31, 86486605434330, 8991450900625795645, 4.093 V, 45.41 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1045, 3.24 V, 1.48 mA,
36649, 24, 86486605433909, 8991450900625795645, 4.093 V, 43.95 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1044, 3.24 V, 1.42 mA,
36648, 25, 86486605432844, 8991450900625795645, 4.093 V, 43.95 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 1043, 3.23 V, 1.48 mA,
36647, 31, 86486605434370, 8991450900625795645, 4.066 V, 43.95 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1042, 3.24 V, 1.45 mA,
36646, 31, 86486605432759, 8991450900625795645, 4.091 V, 48.34 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1041, 3.24 V, 1.40 mA,
36645, 31, 86486605434159, 8991450900625795645, 4.099 V, 45.41 uA, 131.836 mA,  CHARGING,  CONNECTED,51,ST, 1039, 3.24 V, 1.56 mA,
 31, 86486605389445, 8991450900625795645, 4.046 V, 43.95 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1061, 3.24 V, 1.44 mA,
 31, 86486605389445, 8991450900625795644, 4.065 V, 43.95 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST,, 3.24 V, 1.57 mA,
 31, 86486605389445, 8991450900625795645, 4.107 V, 48.34 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 1061, 3.24 V, 1.51 mA,
36659, 29, 86486605434317, 8991450900625796307, 4.077 V, 20.51 uA, 498.047 mA,  CHARGING,  CONNECTED,51,ST, 1055, 3.25 V, 1.49 mA,
36660, 31, 86486605389445, 8991450900625796307, 4.063 V, 45.41 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1061, 3.25 V, 1.52 mA,
36662, 31, 86486605389439, 8991450900625795643, 4.088 V, 45.41 uA, 131.836 mA,  CHARGING,  CONNECTED,51,ST, 1057, 3.24 V, 1.69 mA,
 30, 86486605389439, 8991450900625795643, 4.085 V, 45.41 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 1057, 3.24 V, 1.74 mA,
 31, 86486605389439, 8991450900625795643, 4.058 V, 45.41 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 1057, 3.24 V, 1.56 mA,
36661, 29, 86486605433876, 8991450900625795643, 4.090 V, 43.95 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1058, 3.25 V, 1.53 mA,
36749, 31, 86486605433342, 8991450900625796307, 4.118 V, 43.95 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 1149, 3.25 V, 1.55 mA,
36748, 26, 86486605434279, 8991450900625796307, 4.084 V, 43.95 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1147, 3.24 V, 1.58 mA,
36747, 28, 86486605434169, 8991450900625796307, 4.037 V, 62.99 uA, 454.102 mA,  CHARGING,  CONNECTED,51,ST, 1146, 3.24 V, 1.56 mA,
36746, 29, 86486605389110, 8991450900625796307, 4.047 V, 43.95 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1145, 3.24 V, 1.60 mA,
36745, 30, 86486605388980, 8991450900625796307, 4.135 V, 42.48 uA, 424.805 mA,  CHARGING,  CONNECTED,51,ST, 1144, 3.24 V, 1.60 mA,
36742, 31, 86486605389806, 8991450900625796307, 3.999 V, 45.41 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 1141, 3.24 V, 1.47 mA,
36740, 22, 86486605389782, 8991450900625796307, 4.148 V, 42.48 uA, 322.266 mA,  CHARGING,  CONNECTED,51,ST, 1139, 3.24 V, 1.61 mA,
36739, 30, 86486605389922, 8991450900625796307, 4.087 V, 43.95 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1138, 3.24 V, 1.64 mA,
36738, 23, 86486605389142, 8991450900625796307, 4.080 V, 38.09 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1137, 3.24 V, 1.67 mA,
36777, 27, 86486605389206, 8991450900625796307, 4.066 V, 45.41 uA, 117.188 mA,  CHARGING,  CONNECTED,51,ST, 1182, 3.25 V, 1.54 mA,
36776, 31, 86486605389707, 8991450900625796307, 4.081 V, 48.34 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 1181, 3.22 V, 1.61 mA,
36775, 25, 86486605433881, 8991450900625796307, 4.078 V, 49.80 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1180, 3.24 V, 1.58 mA,
36774, 31, 86486605432477, 8991450900625796307, 4.065 V, 43.95 uA, 263.672 mA,  CHARGING,  CONNECTED,51,ST, 1179, 3.24 V, 1.60 mA,
36773, 31, 86486605434021, 8991450900625796307, 4.077 V, 45.41 uA, 366.211 mA,  CHARGING,  CONNECTED,51,ST, 1178, 3.24 V, 1.49 mA,
36772, 31, 86486605389678, 8991450900625796307, 4.088 V, 45.41 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 1176, 3.24 V, 1.54 mA,
36771, 31, 86486605389630, 8991450900625796307, 4.084 V, 46.88 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1175, 3.24 V, 1.51 mA,
36770, 28, 86486605389366, 8991450900625796307, 4.049 V, 48.34 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1174, 3.24 V, 1.51 mA,
36769, 29, 86486605389797, 8991450900625796307, 4.061 V, 45.41 uA, 366.211 mA,  CHARGING,  CONNECTED,51,ST, 1173, 3.25 V, 1.47 mA,
36768, 28, 86486605389629, 8991450900625796307, 4.080 V, 45.41 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1169, 3.24 V, 1.56 mA,
36767, 21, 86486605389913, 8991450900625796307, 4.046 V, 58.59 uA, 322.266 mA,  CHARGING,  CONNECTED,51,ST, 1171, 3.25 V, 1.57 mA,
36766, 26, 86486605389675, 8991450900625796307, 4.128 V, 43.95 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1170, 3.24 V, 1.56 mA,
36765, 27, 86486605432948, 8991450900625796307, 4.074 V, 42.48 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1167, 3.24 V, 1.50 mA,
36764, 30, 86486605389903, 8991450900625796307, 4.093 V, 43.95 uA, 468.750 mA,  CHARGING,  CONNECTED,51,ST, 1166, 3.24 V, 1.54 mA,
36763, 31, 86486605434049, 8991450900625796307, 4.077 V, 45.41 uA, 541.992 mA,  CHARGING,  CONNECTED,51,ST, 1165, 3.24 V, 1.59 mA,
36762, 31, 86486605389106, 8991450900625796307, 4.046 V, 45.41 uA, 351.563 mA,  CHARGING,  CONNECTED,51,ST, 1164, 3.25 V, 1.64 mA,
36761, 31, 86486605389302, 8991450900625796307, 4.062 V, 46.88 uA, 410.156 mA,  CHARGING,  CONNECTED,51,ST, 1163, 3.24 V, 1.53 mA,
36760, 29, 86486605432935, 8991450900625796307, 4.036 V, 45.41 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1162, 3.24 V, 1.51 mA,
36759, 31, 86486605389704, 8991450900625796307, 4.058 V, 43.95 uA, 307.617 mA,  CHARGING,  CONNECTED,51,ST, 1160, 3.24 V, 1.53 mA,
36758, 28, 86486605434177, 8991450900625796307, 4.063 V, 43.95 uA, 424.805 mA,  CHARGING,  CONNECTED,51,ST, 1159, 3.24 V, 1.47 mA,
36757, 29, 86486605434259, 8991450900625796307, 4.046 V, 46.88 uA, 292.969 mA,  CHARGING,  CONNECTED,51,ST, 1158, 3.24 V, 1.48 mA,
36756, 30, 86486605434227, 8991450900625796307, 4.069 V, 45.41 uA, 263.672 mA,  CHARGING,  CONNECTED,51,ST, 1157, 3.24 V, 1.42 mA,
36755, 29, 86486605434243, 8991450900625796307, 4.065 V, 46.88 uA, 351.563 mA,  CHARGING,  CONNECTED,51,ST, 1156, 3.24 V, 1.52 mA,
36753, 26, 86486605433163, 8991450900625796307, 4.110 V, 45.41 uA, 395.508 mA,  CHARGING,  CONNECTED,51,ST, 1153, 3.24 V, 1.54 mA,
36752, 31, 86486605434075, 8991450900625796307, 4.069 V, 48.34 uA, 454.102 mA,  CHARGING,  CONNECTED,51,ST, 1152, 3.24 V, 1.50 mA,
36751, 31, 86486605433522, 8991450900625796307, 4.085 V, 46.88 uA, 366.211 mA,  CHARGING,  CONNECTED,51,ST, 1150, 3.24 V, 1.58 mA,
36791, 31, 86486605389748, 8991450900625795643, 4.078 V, 46.88 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1196, 3.24 V, 1.65 mA,
36790, 27, 86486605389325, 8991450900625795643, 4.118 V, 48.34 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1195, 3.24 V, 1.68 mA,
36789, 27, 86486605389311, 8991450900625795643, 4.084 V, 46.88 uA, 146.484 mA,  CHARGING,  CONNECTED,51,ST, 1194, 3.24 V, 1.60 mA,
36788, 28, 86486605389880, 8991450900625795643, 4.084 V, 48.34 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 1193, 3.24 V, 1.51 mA,
36787, 29, 86486605389436, 8991450900625795643, 4.083 V, 41.02 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1192, 3.24 V, 0.05 mA,
36786, 29, 86486605389565, 8991450900625795643, 4.143 V, 48.34 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1191, 3.24 V, 1.62 mA,
36785, 27, 86486605389423, 8991450900625795643, 4.113 V, 42.48 uA, 190.430 mA,  CHARGING,  CONNECTED,51,ST, 1190, 3.25 V, 0.04 mA,
36784, 27, 86486605389352, 8991450900625795643, 4.084 V, 45.41 uA, 541.992 mA,  CHARGING,  CONNECTED,51,ST, 1189, 3.24 V, 1.53 mA,
36783, 27, 86486605389793, 8991450900625795643, 4.049 V, 51.27 uA, 234.375 mA,  CHARGING,  CONNECTED,51,ST, 1172, 3.24 V, 1.54 mA,
36782, 29, 86486605389715, 8991450900625796307, 4.069 V, 45.41 uA, 483.398 mA,  CHARGING,  CONNECTED,51,ST, 1188, 3.24 V, 1.67 mA,
36781, 31, 86486605389425, 8991450900625796307, 4.087 V, 45.41 uA, 175.781 mA,  CHARGING,  CONNECTED,51,ST, 1187, 3.24 V, 1.50 mA,
36780, 31, 86486605389235, 8991450900625796307, 4.065 V, 54.20 uA, 205.078 mA,  CHARGING,  CONNECTED,51,ST, 1186, 3.24 V, 1.51 mA,
36779, 31, 86486605389686, 8991450900625796307, 4.100 V, 39.55 uA, 439.453 mA,  CHARGING,  CONNECTED,51,ST, 1184, 3.24 V, 1.62 mA,
36778, 31, 86486605389449, 8991450900625796307, 4.093 V, 45.41 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1183, 3.24 V, 1.69 mA,
36828, 31, 86486605389857, 8991450900625795645, 4.080 V, 48.34 uA, 161.133 mA,  CHARGING,  CONNECTED,51,ST, 1234, 3.24 V, 1.76 mA,
36827, 31, 86486605389275, 8991450900625795645, 4.080 V, 43.95 uA, 424.805 mA,  CHARGING,  CONNECTED,51,ST, 1233, 3.24 V, 1.67 mA,
36826, 31, 86486605389800, 8991450900625795645, 4.107 V, 45.41 uA, 454.102 mA,  CHARGING,  CONNECTED,51,ST, 1232, 3.24 V, 1.64 mA,
36825, 29, 86486605389813, 8991450900625795645, 4.100 V, 45.41 uA, 278.320 mA,  CHARGING,  CONNECTED,51,ST, 1231, 3.25 V, 1.66 mA,
36824, 29, 86486605389117, 8991450900625795645, 4.151 V, 45.41 uA, 249.023 mA,  CHARGING,  CONNECTED,51,ST, 1230, 3.24 V, 1.58 mA,
36823, 31, 86486605389571, 8991450900625795645, 4.153 V, 48.34 uA, 219.727 mA,  CHARGING,  CONNECTED,51,ST, 1229, 3.24 V, 1.55 mA,
36822, 28, 86486605389429, 8991450900625795645, 4.107 V, 45.41 uA, 468.750 mA,  CHARGING,  CONNECTED,51,ST, 1228, 3.24 V, 1.70 mA,
36821, 28, 86486605389010, 8991450900625795645, 4.129 V, 42.48 uA, 73.242 mA,  CHARGING,  CONNECTED,51,ST, 1227, 3.25 V, 1.58 mA,
