CustomerName,LasPayRecieved,LasBilRaise,CreditBalance,TotHWbill,TotSWbill,LasHW_bildate,avgBillamt,avgBillTout,avgBill:Tout,Totdebitamt,debitTout,TotDebit:debTout,CrntDebitamt,CrntTout,CrntDebitamt:CrntTout,debitFreq,creditFreq,dbtfreq:crdtfreq
AMR Tours And Travels,,3481.00,3481.0,3481.0,0,9/8/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
AMRUTH ORGANIC FERTILIZERS,,,0,0,729.0,,0,0,0,0,0,0,-729.0,0,0,,,
ANB FUELS PRIVATE LIMITED,,,0,0,75492.0,,0,0,0,0,0,0,-75492.0,0,0,,,
ANBU GAS CARRIERS IOCL 11020326,,,0,0,527.26,,0,0,0,0,0,0,-527.26,0,0,,,
Angel Welfare Society,,,0,0,354.0,,0,0,0,0,0,0,-354.0,0,0,,,
Ankita Paribahan,,,0,0,3481.0,4/8/2021,0,0,0,0,0,0,-3481.0,0,0,,,
ANKUR ROADWAYS HPCL,3660.00,3660.00,0,0,5185.0,,2592,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
ANKUSH AGGARWAL,60667.00,10443.00,37171.0,106319.0,219799.0,3/19/2022,24422,37171.0,1:2,219799.0,37171.0,6:1,219799.0,37171.0,6:1,Monthly,Monthly,Monthly:Monthly
ANNAI BULK CARRIERS HPCL,3660.00,3660.00,0,0,9150.0,,4575,0,0,0,0,0,0,0,0,Monthly,quaterly,Monthly:quaterly
ANNAMALAIYAAR TRANSPORTS IOCL 11004096,,,0,0,1844.0,,0,0,0,0,0,0,-1844.0,0,0,,,
Annamar Bulk carriers HPCL,2135.00,2135.00,0,0,4270.0,,2135,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
Annapurna Tour and Travels22631,,13924.00,13924.0,13924.0,0,11/5/2021,0,13924.0,0,13924.0,13924.0,1:1,13924.0,13924.0,1:1,,,
Annapurna Travels 22896,,6962.00,6962.0,6962.0,0,3/7/2022,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
ANSH GUPTA,6962.00,6962.00,6962.0,13924.0,13924.0,3/26/2022,6962,6962.0,1:1,13924.0,6962.0,2:1,13924.0,6962.0,2:1,halfyearly,,
Anubam Tours And Travels,,,0,6962.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
Anuraag Travels,,,0,7000.0,7000.0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
Anurag Travels,,,3424.0,0,10424.0,4/1/2021,0,-7000,0,10424.0,3424.0,3:1,0.0,3424.0,0,,,
ANU TRANSPORTS IOCL 11020331.,,,0,0,0,,0,0,0,0,0,0,0,0,0,,,
AOC/Stn Cdr/CO No.26ED(ULS),23978.00,14184.00,0,9794.0,14184.0,9/21/2021,0,0,0,0,0,0,0,0,0,,,
APR ROAD WAYS HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
Aradhana Bus Service,,6962.00,0,6962.0,0,3/18/2022,0,0,0,0,0,0,0,0,0,,,
AR And BCVR Travels,,3481.00,3481.0,3481.0,0,2/15/2022,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
Arjun V Gangoji,1539.00,1026.00,1026.0,2655.0,7181.0,11/26/2021,2459,1026.0,2:1,9836.0,1026.0,10:1,9836.0,1026.0,10:1,quaterly,quaterly,quaterly:quaterly
ARS TRAFFIC AND TRANSPORT TECHNOLOGY(INDIA),,,0,0,11094.0,,0,0,0,0,0,0,-11094.0,0,0,,,
ARS TRANSPORTS HPCL,6330.00,6330.00,0,0,6330.0,,0,0,0,0,0,0,0,0,0,,,
ARUN REVANTH TRANSPORT IOCL 11026738,,,0,0,1635.1,,0,0,0,0,0,0,-1635.1,0,0,,,
Arya Travels20110,,13924.00,13924.0,13924.0,0,2/8/2022,0,13924.0,0,13924.0,13924.0,1:1,13924.0,13924.0,1:1,,,
Ashokanagar Co Op Bank Ltd,4104.00,,0,0,4104.0,,0,0,0,0,0,0,0,0,0,,,
Ashoka Travels21347,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
Ashok Kumar Biswal,,,0,0,560.0,,0,0,0,0,0,0,-560.0,0,0,,,
ASHOK SINGH,3186.00,590.00,0,0,3186.0,,0,0,0,0,0,0,0,0,0,,,
ASHOK SURAM,5900.00,,0,0,5900.0,,0,0,0,0,0,0,-5900.0,0,0,,,
Asian Travelink,,,0,0,3481.0,4/8/2021,0,0,0,0,0,0,-3481.0,0,0,,,
ASVIKA TPTS (SURYA ASHOK TPTS 11004967 11032145,,,0,0,1070.1,,0,0,0,0,0,0,-1070.1,0,0,,,
ATHITHYA TRANSPORTS IOCL 11032085,,,0,0,500.0,,0,0,0,0,0,0,-500.0,0,0,,,
AURANGABAD JALNA TOLL WAY LIMITED,991.00,1416.00,1982.0,10384.0,10335.0,4/19/2021,2071,1982.0,1:1,20719.0,1982.0,10:1,20719.0,1982.0,10:1,quaterly,Monthly,quaterly:Monthly
Avia Xpert Private Limited,5027.00,779.00,0,4248.0,5027.0,3/3/2022,0,0,0,0,0,0,0,0,0,,,
A VIJAYAN HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
A V K ROAD LINEES IOCL 11032144,,,0,0,2125.42,,0,0,0,0,0,0,-2125.42,0,0,,,
A V S TRANSPORT HPCL,1830.00,1830.00,0,0,3660.0,,0,0,0,0,0,0,0,0,0,,,
A V TRANSPORT IOCL 11026804,,,0,0,1525.42,,0,0,0,0,0,0,-1525.42,0,0,,,
AVT Travels23373,,3481.00,3481.0,3481.0,0,1/24/2022,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
BAALAJI GAS CENTRE,1487.00,1487.00,0,0,2974.0,,0,0,0,0,0,0,-1487.0,0,0,,quaterly,
Baba Farid Group of Institutions,885.00,4130.00,0,4130.0,0,3/29/2022,0,0,0,0,0,0,0,0,0,,,
Baby road lines HPCL,1830.00,1830.00,0,0,3660.0,,1830,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
Baglamukhi Holidays Tour And Travels,3500.00,3481.00,0,3481.0,3481.0,9/30/2021,0,0,0,0,0,0,0,0,0,,,
Baikuntha Travels,,,0,6962.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
Balia Panda21640,,6962.00,6962.0,6962.0,0,7/26/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
BANASHANKARI CHEMICALS PRIVATE LIMITED,13806.00,8496.00,0,4130.0,13806.0,10/19/2021,0,0,0,0,0,0,-4130.0,0,0,,halfyearly,
BANASHANKARI INDUSTRIES PVT LTD,13806.00,8496.00,0,4130.0,14632.0,10/19/2021,0,0,0,0,0,0,-4956.0,0,0,,halfyearly,
B And B Travels,,,0,0,3426.0,,0,0,0,0,0,0,-3426.0,0,0,,,
Bangalore International Airport Limited,271053.00,148075.00,37646.0,0,887300.0,10/18/2021,221825,37646.0,6:1,887300.0,37646.0,24:1,887300.0,37646.0,24:1,quaterly,halfyearly,quaterly:halfyearly
BANGALORE TOTALGAZ DISTRIBUTOR,1486.00,743.00,0,0,1486.0,,0,0,0,0,0,0,-743.0,0,0,,,
BANTI SARMAH,7000.00,,0,0,0,,0,0,0,0,0,0,0,0,0,,,
Barde Roadlines,22656.00,7788.00,30444.0,12980.0,122425.0,6/30/2021,8358,-4661,-2:1,135405.0,30444.0,4:1,100300.0,30444.0,3:1,Monthly,quaterly,Monthly:quaterly
Bell Teleservices India Pvt Ltd,3398.00,,18743.0,0,45927.0,,3398,6796,1:2,45927.0,18743.0,2:1,33980.0,18743.0,2:1,Monthly,Monthly,Monthly:Monthly
Bengal Tiger,,,0,0,13924.0,4/8/2021,0,0,0,0,0,0,-13924.0,0,0,,,
BEPARI TRANSPORT,,,0,0,11446.0,,0,0,0,0,0,0,-11446.0,0,0,,,
BESTO LOGISTICS,,,0,0,0,,0,0,0,0,0,0,0,0,0,,,
Bhagwati Holidays,,3481.00,0,6962.0,6962.0,8/11/2021,3481,0,0,0,0,0,0,0,0,Monthly,quaterly,Monthly:quaterly
Bharat Earth Movers Limited,59278.00,60180.00,155611.0,180540.0,346743.0,10/27/2021,100723,-69503,-1:1,527283.0,155611.0,3:1,302169.0,155611.0,2:1,Monthly,halfyearly,Monthly:halfyearly
BHARAT ENTERPRISE,413.00,,2065.0,0,7847.0,,450,-826,-1:1,7847.0,2065.0,4:1,4956.0,2065.0,2:1,Monthly,yearly,Monthly:yearly
BHARATHI ROADWAYS HPCL,1830.00,1830.00,0,0,3660.0,,1830,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
Bharath Motors,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
BHARATH TRANSPORT HPCL,1830.00,1830.00,0,0,5490.0,,2745,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
Bharat Travels 15389,,,0,0,6962.0,,0,0,0,0,0,0,-6962.0,0,0,,,
Bhargava Motors06,2360.00,5192.00,0,7788.0,21948.0,4/27/2021,5487,0,0,0,0,0,0,0,0,Monthly,,
Bhargava Motors 09,11328.00,7788.00,0,7788.0,19116.0,8/31/2021,9558,0,0,0,0,0,0,0,0,quaterly,halfyearly,quaterly:halfyearly
Bharuka Industries,,,0,0,2832.0,,0,0,0,0,0,0,-2832.0,0,0,,,
BHILWARA RAJSAMAND TOLLWAY PRIVATE LIMITED,3221.00,4602.00,3221.0,33748.0,32603.0,4/19/2021,6635,3221.0,2:1,66351.0,3221.0,21:1,66351.0,3221.0,21:1,quaterly,quaterly,quaterly:quaterly
Bholenath Travels,,,0,6962.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
BIJAPUR HUNGUND TOLLWAY PVT LTD,2924.00,31152.00,3300.0,31152.0,22304.0,5/12/2021,5939,3300.0,2:1,53456.0,3300.0,16:1,53456.0,3300.0,16:1,quaterly,quaterly,quaterly:quaterly
Bijnor Gas Agency,,,0,0,4460.0,,0,0,0,0,0,0,-4460.0,0,0,,,
Biostadt India Limited,54752.00,7788.00,188025.0,36344.0,754313.0,2/18/2022,58832,103362,1:2,790657.0,188025.0,4:1,705994.0,188025.0,4:1,Monthly,Monthly,Monthly:Monthly
BIRLA TRAVELS,,,0,0,6512.0,,0,0,0,0,0,0,-6512.0,0,0,,,
BISWAKARMA TRANSPORT AND CO,10000.00,590.00,12415.0,0,76995.0,,4867,-6170,-1:1,76995.0,12415.0,6:1,58410.0,12415.0,5:1,Monthly,quaterly,Monthly:quaterly
Bitla Software Pvt Ltd,7304.20,6567.00,16903.48,0,84945.68,5/10/2021,5315,-9569,-1:1,84945.68,16903.48,5:1,58472.99999999999,16903.48,3:1,Monthly,quaterly,Monthly:quaterly
Bluebirds Travels 16527,,6962.00,6962.0,6962.0,0,9/27/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
BMS Diesel Systems India PVT LTD,,,0,0,50937.0,,0,0,0,0,0,0,-50937.0,0,0,,,
BRIJ GOPAL CONSTRUCTION COMPANY PRIVATE LIMITED,,,0,0,2945.0,,0,0,0,0,0,0,-2945.0,0,0,,,
Brite Travels21542,,3481.00,3481.0,3481.0,0,10/4/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
BRS Travels,,6962.00,6962.0,6962.0,0,12/1/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
B SARAVANAN,1830.00,23199.00,0,0,23199.0,,0,0,0,0,0,0,0,0,0,,,
BS BULK CARRIER HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
B S Holidays  Travels,3000.00,3009.00,9.0,3009.0,3009.0,3/30/2022,0,9.0,0,3009.0,9.0,334:1,3009.0,9.0,334:1,,,
BSK PURE CHEM,10384.00,590.00,0,4130.0,14042.0,10/19/2021,0,0,0,0,0,0,-7788.0,0,0,,halfyearly,
Bulls Eye Media Pvt Ltd,,,0,0,188181.0,,0,0,0,0,0,0,-188181.0,0,0,,,
BUSYBEES LOGISTICS SOLUTIONS PRIVATE LIMITED,,,0,0,5015.0,,0,0,0,0,0,0,-5015.0,0,0,,,
Cape Town Travels19071,,,0,0,6962.0,,0,0,0,0,0,0,-6962.0,0,0,,,
CAPPERE SOLUTIONS PRIVATE LIMITED,3245.00,1770.00,13275.0,8850.0,7670.0,10/5/2021,3304,13275.0,1:4,16520.0,13275.0,1:1,16520.0,13275.0,1:1,quaterly,,
CASBY LOGISTICS PRIVATE LIMITED,115710.00,117705.00,128995.0,1062.0,804665.0,9/4/2021,100715,128995.0,1:1,805727.0,128995.0,6:1,805727.0,128995.0,6:1,Monthly,quaterly,Monthly:quaterly
Cauvery,19095.00,,32137.0,0,65535.0,,4468,15753,1:4,65535.0,32137.0,2:1,49151.0,32137.0,2:1,Monthly,quaterly,Monthly:quaterly
Celebrity Travels22446,,,0,6962.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
Century Roadways,17000.00,,14628.0,0,31628.0,,1925,6100,1:3,31628.0,14628.0,2:1,23100.0,14628.0,2:1,Monthly,,
CHAMPIONS YACHT CLUB PRIVATE LIMITED 30,,4425.00,13275.0,7080.0,9145.0,11/24/2021,6637,10325,1:2,16225.0,13275.0,1:1,13275.0,13275.0,1:1,quaterly,,
Chandrakanti Road Ways22666,,,0,3481.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
Changen Transports,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
Charanjit Singh Kala,,,0,0,19287.0,,0,0,0,0,0,0,-19287.0,0,0,,,
CHENDUR GAS,1486.00,1487.00,1.0,0,2974.0,,0,-1486,0,2974.0,1.0,2974:1,1487.0,1.0,1487:1,,quaterly,
CHERAN ROADLINES IOCL 11020354,,,0,0,543.84,,0,0,0,0,0,0,-543.84,0,0,,,
CHOUDARY TRAVELS,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
CHRYSALIS HIGH- Yelahanka,,,0,0,1836.0,,0,0,0,0,0,0,-1836.0,0,0,,,
Citizen Travel Indore,,13924.00,27258.0,13924.0,13334.0,2/22/2022,0,13924,0,27258.0,27258.0,1:1,13924.0,27258.0,1:2,,,
CITY EXPRESS IOCL 10101029,,,0,0,3259.0,,0,0,0,0,0,0,-3259.0,0,0,,,
City Land Travels,8500.00,2419.00,0,17922.0,17922.0,12/27/2021,8961,0,0,0,0,0,0,0,0,Monthly,quaterly,Monthly:quaterly
CKT TRANSPORT SERVICE HPCL,2135.00,2135.00,0,4500.0,5795.0,8/31/2021,3431,0,0,0,0,0,0,0,0,Monthly,Monthly,Monthly:Monthly
CLASSIC COACH BUILDERS17406,,3481.00,8481.0,3481.0,5000.0,7/16/2021,0,3481,0,8481.0,8481.0,1:1,3481.0,8481.0,1:2,,,
CLASSIC GAS AGENCY,1486.00,743.00,0,0,1486.0,,0,0,0,0,0,0,-743.0,0,0,,,
CMB Travels22733,,,0,6962.0,0,12/30/2021,0,0,0,0,0,0,0,0,0,,,
CMT Travels21535,,3481.00,3481.0,3481.0,0,4/6/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
Concorde Group,2950.00,,36876.0,0,60476.0,,2950,11800,1:4,60476.0,36876.0,2:1,35400.0,36876.0,1:1,Monthly,quaterly,Monthly:quaterly
Cool Cool Tour And Travels,,17405.00,17405.0,17405.0,17405.0,3/28/2022,0,17405.0,0,17405.0,17405.0,1:1,17405.0,17405.0,1:1,,,
Coorg Cabs,,,0,0,21948.0,,0,0,0,0,0,0,-21948.0,0,0,,,
Country Inn,,708.00,21272.0,0,64260.0,,4336,-34315,0:1,64260.0,21272.0,3:1,8673.0,21272.0,1:2,halfyearly,,
C P RAJAPPA SON AND CO,27697.00,,27697.0,0,55394.0,,0,0,0,55394.0,27697.0,2:1,27697.0,27697.0,1:1,,,
CROWN WORLDWIDE PRIVATE LIMITED,,1180.00,86140.0,0,86869.0,,43070,85411,1:2,86869.0,86140.0,1:1,86140.0,86140.0,1:1,quaterly,,
Crystal Roadlines,,935.00,5235.52,0,5235.52,,1246,3739,1:3,5235.52,5235.52,1:1,3739.0000000000005,5235.52,1:1,halfyearly,,
Cumbum Travels,,3481.00,3424.0,3481.0,10443.0,7/7/2021,0,-7019,0,13924.0,3424.0,4:1,3481.0,3424.0,1:1,,,
CXL LOGISTICS PRIVATE LIMITED,18533.00,20249.00,25397.0,0,99958.0,,20249,6435,3:1,99958.0,25397.0,4:1,80996.0,25397.0,3:1,halfyearly,halfyearly,halfyearly:halfyearly
D A V Public School,,,0,0,0,,0,0,0,0,0,0,0,0,0,,,
Deepakraj Travels22212,7000.00,6962.00,0,6962.0,0,7/30/2021,0,0,0,0,0,0,0,0,0,,,
Deep Travels,,,0,0,0,4/8/2021,0,0,0,0,0,0,0,0,0,,,
Defence Avionics Research Establishment,9744.00,9912.00,672.0,0,39648.0,,9912,672.0,15:1,39648.0,672.0,59:1,39648.0,672.0,59:1,quaterly,quaterly,quaterly:quaterly
DELHI GUJARAT FLEET CARRIERS PVT LTD,177660.00,97055.00,302724.0,0,1465844.0,,106328,6496,16:1,1465844.0,302724.0,5:1,1169616.0,302724.0,4:1,Monthly,Monthly,Monthly:Monthly
Delhi public school,,,0,0,21523.0,,0,0,0,0,0,0,-21523.0,0,0,,,
DEVIC EARTH PVT. LTD,347546.00,29736.00,32107.0,273288.0,352973.0,3/16/2022,45905,-181001,0:1,626261.0,32107.0,20:1,413153.0,32107.0,13:1,quaterly,yearly,quaterly:yearly
Dharmendra Kumar Yadav,1000.00,,0,0,1652.0,,236,0,0,0,0,0,0,0,0,Monthly,halfyearly,Monthly:halfyearly
Dheeraj Travels19394,,6962.00,6962.0,6962.0,0,12/1/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
DHULE PALESNER TOLLWAY LIMITED,118.00,118.00,118.0,33748.0,26860.0,5/12/2021,6060,118.0,51:1,60608.0,118.0,514:1,60608.0,118.0,514:1,quaterly,halfyearly,quaterly:halfyearly
DiaFanis Healthcare Pvt Ltd,82657.00,,11682.0,0,94339.0,,4672,-59293,0:1,94339.0,11682.0,8:1,23364.0,11682.0,2:1,Monthly,,
Diptab Ventures Private Limited,58940.00,68440.00,375637.0,136881.0,890988.0,3/28/2022,69472,212237,1:3,997071.0,375637.0,3:1,833671.0,375637.0,2:1,Monthly,quaterly,Monthly:quaterly
Drushya Enterprises Pvt Ltd,,,0,0,76698.0,,0,0,0,0,0,0,-76698.0,0,0,,,
DS Enterprises,,,0,0,5428.0,,0,0,0,0,0,0,-5428.0,0,0,,,
DS-MAX Properties (P) LTD.,,,0,0,88618.0,,0,0,0,0,0,0,-88618.0,0,0,,,
Durga Steel Industries,5220.00,5310.00,1410.0,21240.0,94105.0,12/15/2021,22361,-2130,-10:1,115345.0,1410.0,82:1,111805.0,1410.0,79:1,quaterly,quaterly,quaterly:quaterly
Eastern Wave Travels21618,,3481.00,3481.0,3481.0,0,4/8/2021,0,3481.0,0,3481.0,3481.0,1:1,3481.0,3481.0,1:1,,,
East West Travels,,6962.00,6962.0,6962.0,0,4/8/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
ECO FLAME TOTAL DISTRIBUTORS,,,0,0,743.0,,0,0,0,0,0,0,-743.0,0,0,,,
Edakalathur Travels21142,,13924.00,13924.0,13924.0,0,1/5/2022,0,13924.0,0,13924.0,13924.0,1:1,13924.0,13924.0,1:1,,,
ELAMARAN TRANSPORTS HPCL,1830.00,1830.00,0,0,1830.0,,0,0,0,0,0,0,0,0,0,,,
EMS BULK CARRIER IOCL 11026739,,,0,0,4525.84,,0,0,0,0,0,0,-4525.84,0,0,,,
EMS ROADWAYS IOCL 11004193,,,0,0,17174.2,,0,0,0,0,0,0,-17174.2,0,0,,,
ENTRANSYS PRIVATE LIMITED,,,0,0,63040.0,,0,0,0,0,0,0,-63040.0,0,0,,,
Eptisa India Pvt Ltd,,,0,0,134435.0,,0,0,0,0,0,0,-134435.0,0,0,,,
Eshan Travels 15603,,3481.00,6372.0,6372.0,0,4/6/2021,0,6372.0,0,6372.0,6372.0,1:1,6372.0,6372.0,1:1,,,
ESSEL DEVANHALLI TOLLWAY PRIVATE LIMITED,,,0,0,16351.0,,0,0,0,0,0,0,-16351.0,0,0,,,
Eswar Tours and Travels22334,,6962.00,6962.0,6962.0,0,9/7/2021,0,6962.0,0,6962.0,6962.0,1:1,6962.0,6962.0,1:1,,,
everest transport carrier HPCL,1830.00,1830.00,0,0,3660.0,,1830,0,0,0,0,0,0,0,0,halfyearly,halfyearly,halfyearly:halfyearly
EXM Project Movers Pvt. Ltd.,3500.00,10620.00,8651.0,0,26176.0,,0,-6905,0,26176.0,8651.0,3:1,10620.0,8651.0,1:1,,yearly,
EXPRESS GLOBAL LOGISTICS PVT LTD,,3540.00,7257.0,3363.0,3894.0,1/20/2022,0,7257.0,0,7257.0,7257.0,1:1,7257.0,7257.0,1:1,,,
Express Logistics 29,2124.00,,0,0,2124.0,,0,0,0,0,0,0,0,0,0,,,
Extacia Business Class19836,,,0,0,6886.0,4/8/2021,0,0,0,0,0,0,-6886.0,0,0,,,
