,,,,,,
Ledger:,Aakash Travels20573,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
1/4/2022,Cr,Sales 18% Igst,Sensales,2021-22/SLB/3138,3481.00,
3481.00,,,,,,
,Dr,Closing Balance,,,,3481.00
3481.00,,,,,,3481.00
,,,,,,
Ledger:,AaRa Travels19984,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
9/23/2021,Cr,Sales 18% Igst,Sensales,2021-22/SLB/1859,3481.00,
3481.00,,,,,,
,Dr,Closing Balance,,,,3481.00
3481.00,,,,,,3481.00
,,,,,,
Ledger:,A A TRANSPORTS HPCL,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
7/28/2021,Dr,SBI OD AC 38852796022,Receipt,MAC000789423062,,1830.00
8/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1310,1830.00,
1830.00,,,,,,1830.00
,,,,,,
Ledger:,ABDUL HAMEED,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Dr,Opening Balance,,,,949.00
4/27/2021,Cr,Sales 18% Gst,Sales Service,21-22/B1/S/129,2872.00,
2872.00,,,,,,949.00
,Dr,Closing Balance,,,,1923.00
2872.00,,,,,,2872.00
,,,,,,
Ledger:,Abhi,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
12/2/2021,Cr,Sensel Telematics Private Limited,Journal,672,3505.00,
12/4/2021,Dr,SBI OD AC 38852796022,Receipt,PANKAJ,,5900.00
12/27/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3104,2407.00,
5912.00,,,,,,5900.00
,Dr,Closing Balance,,,,12.00
5912.00,,,,,,5912.00
,,,,,,
Ledger:,Abhi Travels,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
10/30/2021,Dr,SBI OD AC 38852796022,Receipt,PANKAJ,,3500.00
3/30/2022,Cr,Sensel Telematics Private Limited,Journal,945,3481.00,
3481.00,,,,,,3500.00
,Cr,Closing Balance,19.00,,,
3500.00,,,,,,3500.00
,,,,,,
Ledger:,AB Holidays And Adventures Pvt Ltd,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
8/21/2021,Cr,Sensel Telematics Private Limited,Journal,412,5782.00,
5782.00,,,,,,
,Dr,Closing Balance,,,,5782.00
5782.00,,,,,,5782.00
,,,,,,
Ledger:,ABIRAMI TRANSPORT HPCL,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
7/23/2021,Dr,SBI OD AC 38852796022,Receipt,3199965044307 /,,2135.00
8/6/2021,Dr,SBI OD AC 38852796022,Receipt,5098586162091,,1830.00
8/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1309,1830.00,
9/30/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2036,2135.00,
3965.00,,,,,,3965.00
,,,,,,
Ledger:,ACE DESIGNERS LIMITED,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
11/19/2021,Cr,Sales 18% Gst,Sensales,2021-22/SLB/2566,5015.00,
11/26/2021,Cr,Sales 18% Gst,Sensales,2021-22/SLB/2736,5015.00,
1/14/2022,Dr,SBI OD AC 38852796022,Receipt,3199678044303,,5015.00
2/10/2022,Dr,SBI OD AC 38852796022,Receipt,3199962044300,,5015.00
2/23/2022,Cr,Sale Service 18% Gst,Sales Service,2021-22/SR/3536,2360.00,
3/30/2022,Dr,SBI OD AC 38852796022,Receipt,3199677044304 /,,2360.00
12390.00,,,,,,12390.00
,,,,,,
Ledger:,ACHIIEVERS FINANCE INDIA PVT LTD,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
9/27/2021,Dr,SBI OD AC 38852796022,Receipt,3199955044308,,6750.00
9/29/2021,Cr,Sales 18% Igst,Sensales,2021-22/SLB/2023,4484.00,
10/8/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2218,2266.00,
6750.00,,,,,,6750.00
,,,,,,
Ledger:,ACME Services,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Cr,Opening Balance,,,102327.00,
4/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/68,18502.00,
4/23/2021,Dr,SBI OD AC 38852796022,Receipt,ACME,,18502.00
5/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/241,18597.00,
5/18/2021,Dr,SBI OD AC 38852796022,Receipt,3199965044307,,18597.00
6/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/463,19446.00,
7/30/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/882,19635.00,
9/13/2021,Dr,SBI OD AC 38852796022,Receipt,3199421044306,,39081.00
9/20/2021,Dr,SBI OD AC 38852796022,Receipt,3199964044308,,25000.00
10/4/2021,Dr,SBI OD AC 38852796022,Receipt,3199412044307 /,,35000.00
10/18/2021,Dr,SBI OD AC 38852796022,Receipt,3199422044305,,25000.00
10/25/2021,Dr,SBI OD AC 38852796022,Receipt,3199965044307 /,,15000.00
11/25/2021,Dr,Sales 18% Igst,Credit Note,21-22/CR/38,,2327.00
1/31/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3403,99781.00,
2/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3435,19541.00,
2/26/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3689,19541.00,
3/26/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/4025,2832.00,
320202.00,,,,,,178507.00
,Dr,Closing Balance,,,,141695.00
320202.00,,,,,,320202.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED 06,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
8/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1488,24544.00,
9/9/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1812,24544.00,
9/24/2021,Dr,SBI OD AC 38852796022,Receipt,3199957044306,,24128.00
9/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199416044303,,24128.00
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2160,24544.00,
10/11/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2222,1096.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2302,5709.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2307,5709.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2518,24544.00,
11/17/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2539,8850.00,
11/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2580,8850.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2861,24544.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2867,9629.00,
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199414044305,,24128.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199681044308,,1077.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199965044307,,5612.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199683044306,,5612.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199958044305,,1044.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199958044305,,24128.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199420044306,,8700.00
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3156,24544.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3162,10506.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3167,708.00,
1/7/2022,Dr,SBI OD AC 38852796022,Receipt,3199419044300 /,,8700.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199416044303,,9466.00
2/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3458,24544.00,
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199957044306,,24128.00
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3497,13657.00,
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3502,4602.00,
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199961044301,,696.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199424044303,,24128.00
3/2/2022,Dr,SBI OD AC 38852796022,Receipt,3199412044307,,10328.00
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3738,24544.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3801,15222.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3855,24544.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3862,16878.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3863,1770.00,
324082.00,,,,,,196003.00
,Dr,Closing Balance,,,,128079.00
324082.00,,,,,,324082.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED 08,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
8/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1489,9818.00,
9/9/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1813,9818.00,
9/24/2021,Dr,SBI OD AC 38852796022,Receipt,3199413044306 /,,9652.00
9/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199958044305 /,,9652.00
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2161,9818.00,
10/11/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2223,160.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2303,1667.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2308,2832.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2519,9818.00,
11/17/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2540,2832.00,
11/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2581,2832.00,
12/3/2021,Dr,SBI OD AC 38852796022,Receipt,3199423044304,,9651.60
12/3/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2862,9818.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2869,2832.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2872,1062.00,
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199963044309,,157.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199680044308,,1639.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199678044303,,2784.00
12/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199965044307,,9652.00
12/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199678044303,,2784.00
12/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199966044306 /,,2784.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199418044301 /,,2784.00
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3157,9818.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3163,2832.00,
2/10/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3459,9818.00,
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199955044308,,9652.00
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3498,3494.00,
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3503,1770.00,
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199955044308 /,,9652.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199417044302,,2784.00
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3739,9818.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3802,6144.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3803,2124.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3856,9818.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3865,7194.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3866,708.00,
126845.00,,,,,,73627.60
,Dr,Closing Balance,,,,53217.40
126845.00,,,,,,126845.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED 09,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
9/9/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1814,2266.00,
9/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1819,1133.00,
9/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1820,2266.00,
9/13/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1821,1133.00,
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2162,2266.00,
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2164,1133.00,
10/11/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2224,34.00,
10/11/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2225,959.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2304,491.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2305,2865.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2309,708.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2310,3186.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2520,2266.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2521,1133.00,
11/17/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2541,708.00,
11/17/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2542,3186.00,
11/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2582,708.00,
11/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2583,3186.00,
12/3/2021,Dr,SBI OD AC 38852796022,Receipt,3199960044301 /,,1114.00
12/3/2021,Dr,SBI OD AC 38852796022,Receipt,3199415044304,,2228.00
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2863,2266.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2864,1133.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2870,708.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2871,3186.00,
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199423044304,,3132.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199967044305,,696.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199967044305,,943.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199416044303,,33.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199679044302,,483.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199969044303,,2816.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,,,3132.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199418044301 /,,696.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199418044301 /,,3132.00
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3158,2266.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3159,1133.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3164,708.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3165,3186.00,
1/7/2022,Dr,SBI OD AC 38852796022,Receipt,3199960044301,,696.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199414044305,,3132.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199969044303,,696.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199682044307,,1114.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199967044305,,2228.00
2/10/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3460,2266.00,
2/10/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3461,1133.00,
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199964044308,,2228.00
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199414044305,,1114.00
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3499,708.00,
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3500,3186.00,
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199956044307,,2228.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199675044306 /,,696.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199963044309 /,,1114.00
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3740,2266.00,
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3741,1133.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3804,708.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3805,3186.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3857,2266.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3858,1133.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3867,708.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3868,3186.00,
66092.00,,,,,,33651.00
,Dr,Closing Balance,,,,32441.00
66092.00,,,,,,66092.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED 23,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
8/21/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1493,1888.00,
9/9/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1815,1888.00,
9/24/2021,Dr,SBI OD AC 38852796022,Receipt,3199415044304 /,,1856.00
9/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199417044302,,1856.00
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2163,1888.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2522,1888.00,
12/3/2021,Dr,SBI OD AC 38852796022,Receipt,3199419044300,,1856.00
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2865,1888.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3160,1888.00,
2/10/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3462,1888.00,
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199417044302,,1856.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199961044301 /,,1856.00
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3742,1888.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3859,1888.00,
16992.00,,,,,,9280.00
,Dr,Closing Balance,,,,7712.00
16992.00,,,,,,16992.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED-24,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
8/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1487,49843.00,
9/9/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/1811,49843.00,
9/24/2021,Dr,SBI OD AC 38852796022,Receipt,3199972044308 /,,48998.00
9/28/2021,Dr,SBI OD AC 38852796022,Receipt,3199955044308,,48998.00
10/1/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2159,49843.00,
10/11/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2221,821.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2301,5150.00,
10/23/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2306,16731.00,
11/10/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2517,49843.00,
11/17/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2538,21125.00,
11/20/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2579,23010.00,
12/3/2021,Dr,SBI OD AC 38852796022,Receipt,3199421044306 /,,48998.00
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2860,49843.00,
12/4/2021,Cr,Sales 18% Igst,Sales Service,2021-22/SR/2866,23010.00,
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199956044307,,16447.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199410044308,,807.00
12/7/2021,Dr,SBI OD AC 38852796022,Receipt,3199967044305,,5063.00
12/31/2021,Dr,SBI OD AC 38852796022,Receipt,3199421044306,,48998.00
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3155,49843.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3161,24038.00,
1/6/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3166,1062.00,
1/7/2022,Dr,SBI OD AC 38852796022,Receipt,3199421044306,,22620.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199681044308,,20767.00
1/17/2022,Dr,SBI OD AC 38852796022,Receipt,3199969044303,,22620.00
2/10/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3457,49843.00,
2/15/2022,Dr,SBI OD AC 38852796022,Receipt,3199416044303,,48998.00
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3496,24940.00,
2/18/2022,Cr,Sales Service 18% Igst,Sales Service,2021-22/SR/3501,354.00,
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199424044303,,48998.00
2/25/2022,Dr,SBI OD AC 38852796022,Receipt,3199422044305 /,,1044.00
3/2/2022,Dr,SBI OD AC 38852796022,Receipt,3199410044308,,23631.00
3/7/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3737,49843.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3799,25740.00,
3/10/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3800,708.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3854,49843.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3860,26151.00,
3/22/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3861,354.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3881,5500.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3875,525.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3876,1558.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3877,2330.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3878,3056.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3879,3848.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3880,4922.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3882,6303.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3883,126.00,
3/23/2022,Cr,Sales 18% Igst,Sales Service,2021-22/SR/3884,6372.00,
676321.00,,,,,,406987.00
,Dr,Closing Balance,,,,269334.00
676321.00,,,,,,676321.00
,,,,,,
Ledger:,ADANI TOTAL GAS LIMITED 29,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
11/10/2021,Cr,Sales 18% Gst,Sales Service,2021-22/SR/2524,480.00,
480.00,,,,,,
,Dr,Closing Balance,,,,480.00
480.00,,,,,,480.00
,,,,,,
Ledger:,ADDAX BIOENERGY,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Cr,Opening Balance,,,57060.00,
,,,,,,
Ledger:,ADITEYA GAS AGENCY,1-Apr-2021 to 31-Mar-2022,,,,
Date,Particulars,,Vch Type,Vch No.,Debit,Credit
4/1/2021,Cr,Opening Balance,,,743.00,
,,,,,,
Ledger:,Aditya Logistics 23345,1-Apr-2021 to 31-Mar-2022,,,,
